customer_id,customer_name,email,registration_date,customer_type,region
1,Brian Yang,johnsonjoshua@example.org,2025-11-05,REGULAR,East
2,Jonathan Johnson,garzaanthony@example.org,2024-05-15,REGULAR,North
3,Abigail Shaffer,lrobinson@example.com,2026-06-30,VIP,North
4,Gabrielle Davis,jpeterson@example.org,2023-12-09,REGULAR,North
5,Kimberly Dudley,melanie94@example.org,2025-02-19,REGULAR,North
6,Heidi Lee,arnoldmaria@example.net,2023-10-28,VIP,West
7,Sharon James,stanleykendra@example.org,2025-06-15,VIP,East
8,Timothy Wong,francisco53@example.net,2026-02-12,REGULAR,South
9,William Bowman,amandasanchez@example.com,2025-11-23,PREMIUM,East
10,Andrew Stewart,gabriellecameron@example.org,2024-08-30,PREMIUM,North
11,Matthew Foster,clarksherri@example.net,2026-04-05,REGULAR,East
12,Kimberly Burgess,ithomas@example.org,2025-05-07,VIP,East
13,Peter Callahan Jr.,icox@example.net,2024-03-16,VIP,West
14,Julie King,ycarlson@example.com,2025-11-17,PREMIUM,North
15,Patricia Peterson,frazierdanny@example.net,2024-10-09,VIP,East
16,Deborah Mason,amoore@example.net,2024-04-14,VIP,North
17,Christina Brooks,harrellkenneth@example.net,2024-03-18,REGULAR,East
18,Sherry Decker,georgetracy@example.org,2024-10-31,REGULAR,North
19,John Jones,brianhumphrey@example.org,2025-10-16,PREMIUM,East
20,Joseph Obrien,davidalvarez@example.net,2024-06-05,PREMIUM,South
21,Jessica Holmes,jenniferross@example.net,2024-01-15,VIP,North
22,Leah Smith,jeffreymorgan@example.net,2026-03-18,REGULAR,South
23,David Caldwell,perezrebecca@example.com,2024-06-08,PREMIUM,East
24,Richard Aguirre,jenniferkhan@example.net,2024-05-02,VIP,South
25,Scott Brown,davisryan@example.com,2026-04-22,REGULAR,South
26,Connor West,brownjessica@example.org,2025-04-27,PREMIUM,West
27,Scott Pierce,joshuawright@example.org,2023-09-28,REGULAR,East
28,John Lewis,novaksara@example.org,2025-03-25,PREMIUM,West
29,Richard Gibson,martinaaron@example.com,2025-04-29,VIP,West
30,Lauren Daniels,smoore@example.org,2024-11-10,REGULAR,South
31,Tyler Miller,williamsthomas@example.net,2024-04-25,VIP,East
32,Todd Hudson,larsonemma@example.org,2025-12-27,PREMIUM,West
33,Emily Green,harveyrobert@example.net,2026-05-17,REGULAR,West
34,Joyce Hickman,john62@example.net,2023-11-01,REGULAR,North
35,Daniel Baker,ellisyolanda@example.org,2025-01-04,REGULAR,West
36,Joshua Turner,suarezmike@example.org,2026-04-22,PREMIUM,West
37,Shawn Baker,contrerasangela@example.net,2023-12-25,PREMIUM,East
38,Michael Farrell,josephjacobs@example.net,2025-09-04,REGULAR,North
39,Sandra Williams,dking@example.org,2024-12-11,VIP,East
40,Michael Hoffman,danagreen@example.net,2024-01-01,PREMIUM,North
41,Sandra Aguilar,landryhannah@example.org,2024-02-27,REGULAR,West
42,Rebecca Valencia,@example.com,2025-01-17,VIP,East
43,Stacey Russell,evelynestrada@example.com,2026-03-02,REGULAR,North
44,Rita Keith,sarayoung@example.org,2023-08-19,PREMIUM,South
45,Sharon Cochran,jillcook@example.com,2024-08-29,REGULAR,North
46,Courtney Velasquez,kristinrodriguez@example.org,2025-06-26,PREMIUM,North
47,Jennifer Ramirez,kevin33@example.org,2023-10-27,PREMIUM,East
48,Ms. Teresa Wilson,michael86@example.net,2024-08-20,REGULAR,North
49,Jeffrey Chandler,beverlyterrell@example.org,2024-11-10,PREMIUM,North
50,Kenneth Scott,gobrien@example.org,2025-05-19,VIP,South
51,Natalie Lambert,meyerlindsay@example.net,2025-01-27,PREMIUM,South
52,Mary Martinez,qjones@example.com,2024-10-20,VIP,West
53,Cameron Fisher,elizabeth56@example.net,2025-02-19,VIP,South
54,Elizabeth Clark,christinaturner@example.net,2025-12-28,PREMIUM,East
55,Steven Flynn,steven73@example.net,2024-03-31,VIP,West
56,Robert Potter,campbellelizabeth@example.net,2026-05-22,REGULAR,North
57,William Carr,jeffrey32@example.org,2023-11-02,VIP,South
58,Michael Snyder,operry@example.net,2024-07-25,REGULAR,North
59,Colleen Brock,dianasmith@example.org,2026-06-27,REGULAR,South
60,Robert Contreras,pwilliams@example.org,2025-11-26,REGULAR,East
61,Jessica Meadows,stephanie79@example.net,2025-06-03,REGULAR,East
62,Sara Ramirez,juliawells@example.com,2025-09-28,REGULAR,South
63,Dustin Nelson,rsims@example.com,2024-11-19,VIP,West
64,Daniel Perry,taylorjesse@example.net,2024-12-07,PREMIUM,West
65,Randy Shah,nperry@example.com,2023-08-11,REGULAR,West
66,Sarah Ashley,wwoods@example.com,2025-04-22,PREMIUM,West
67,George Shelton,tracynelson@example.com,2025-03-31,REGULAR,North
68,Susan Vargas,marycalhoun@example.net,2026-05-06,VIP,East
69,David Murphy,millerroy@example.com,2025-06-17,REGULAR,South
70,Bradley Smith,matthew64@example.com,2025-10-26,VIP,West
71,Tyler Williams,cookemichael@example.net,2023-08-29,REGULAR,East
72,John Wilson,jamessmith@example.org,2024-06-14,REGULAR,West
73,Lawrence Adkins,xlyons@example.com,2024-01-05,VIP,North
74,Laura Odonnell,tamirodriguez@example.org,2025-02-14,VIP,North
75,Sandra Sanchez,mdavid@example.org,2026-06-29,REGULAR,South
76,Hannah Patterson,melissa91@example.net,2025-02-06,PREMIUM,South
77,Ashley Yu,huntermatthew@example.com,2026-03-25,REGULAR,South
78,Tracie Nelson,bzimmerman@example.org,2025-10-25,PREMIUM,East
79,Samuel Rivas,umarshall@example.net,2023-11-23,PREMIUM,East
80,Jamie Johnson,nicole37@example.net,2024-11-27,VIP,West
81,Spencer Haynes,tonykelly@example.com,2024-09-13,PREMIUM,South
82,Katherine Chang,blackjames@example.org,2026-06-18,VIP,North
83,Anna Walker,fbrewer@example.com,2026-06-20,REGULAR,North
84,Hailey Barajas,kevinperkins@example.com,2025-11-12,VIP,South
85,Bryan Lee,michael74@example.com,2024-01-13,VIP,North
86,Vanessa Warren,jamesrodgers@example.com,2024-09-23,REGULAR,North
87,Adrian Ferguson,wallkenneth@example.com,2024-09-10,REGULAR,West
88,Margaret Mullins,mccannangela@example.net,2023-12-18,VIP,South
89,Vincent King,andrewstaylor@example.com,2025-07-23,REGULAR,North
90,Melissa Hernandez,shortrichard@example.org,2025-12-02,VIP,East
91,Lisa Gibbs,christopher31@example.net,2024-06-26,REGULAR,East
92,Wanda Torres,chayes@example.com,2026-03-02,PREMIUM,South
93,Deborah Miller,lynchjody@example.org,2024-07-18,PREMIUM,West
94,Kirk Carter,andreamoore@example.com,2024-07-05,REGULAR,North
95,Dennis Moody,jasmine71@example.net,2026-01-13,VIP,North
96,Derek Thomas,ronaldstephens@example.net,2023-10-12,REGULAR,East
97,Jessica Harrison,lauralarson@example.net,2024-10-26,PREMIUM,North
98,Bobby Williams MD,gbender@example.net,2024-11-23,PREMIUM,East
99,Yvonne Chambers,anthony39@example.net,2024-09-02,VIP,East
100,Sydney White,hinesgregory@example.net,2026-01-06,VIP,North
101,Jason Morris,fwalters@example.org,2023-12-21,VIP,East
102,Jennifer Hodges,marksteele@example.com,2023-09-07,REGULAR,South
103,Raymond Hancock,qmiller@example.com,2023-07-13,REGULAR,South
104,Peter Garrett,mgutierrez@example.net,2023-09-30,VIP,South
105,Michael Martinez,josephanderson@example.com,2026-03-16,REGULAR,East
106,Anna Gay,jennifercollins@example.org,2024-01-04,PREMIUM,North
107,Dr. Jordan Hill PhD,pvalentine@example.org,2025-07-14,PREMIUM,East
108,Katie Suarez,stephenthomas@example.org,2023-10-28,PREMIUM,South
109,Aaron Barber,kendra65@example.net,2026-01-08,PREMIUM,South
110,Mr. Phillip Bennett,cgrimes@example.net,2024-11-22,VIP,West
111,Reginald Williams,tinaallen@example.com,2025-07-15,REGULAR,North
112,Mrs. Amanda Shaw,qhughes@example.net,2026-01-13,VIP,South
113,Alexis Thomas,molly71@example.net,2026-04-24,PREMIUM,South
114,Michael Santos,charlesharrington@example.com,2024-12-03,REGULAR,East
115,Katherine Weaver,ofinley@example.net,2026-02-25,REGULAR,East
116,Nicole Hamilton MD,younggabrielle@example.com,2026-03-22,REGULAR,North
117,Robert Carter,wallaceheather@example.org,2025-02-13,VIP,West
118,Rebecca Jackson,hthomas@example.com,2023-11-11,VIP,South
119,Briana Murray,pharvey@example.com,2024-08-09,REGULAR,South
120,Megan Moore,ascott@example.com,2025-05-28,REGULAR,West
121,Ryan Gonzalez,vanessa46@example.net,2025-02-28,VIP,East
